DEBUG 2024-12-06 14:16:03,662 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\dates.py first seen with mtime 1730002025.9512622
DEBUG 2024-12-06 14:16:03,662 autoreload File C:\Python\Lib\importlib\resources\readers.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,662 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\decorators.py first seen with mtime 1730002032.837395
DEBUG 2024-12-06 14:16:03,662 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\utils.py first seen with mtime 1730002025.831226
DEBUG 2024-12-06 14:16:03,663 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1730002025.9612637
DEBUG 2024-12-06 14:16:03,663 autoreload File C:\Python\Lib\graphlib.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,663 autoreload File C:\Python\Lib\importlib\resources\__init__.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,663 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1730002025.7056923
DEBUG 2024-12-06 14:16:03,664 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\pymysql\constants\CR.py first seen with mtime 1730002345.7198846
DEBUG 2024-12-06 14:16:03,664 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1730002025.843732
DEBUG 2024-12-06 14:16:03,664 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1730002025.841229
DEBUG 2024-12-06 14:16:03,664 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1730002025.8122203
DEBUG 2024-12-06 14:16:03,665 autoreload File C:\Python\Lib\dataclasses.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,665 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1730002025.7377
